Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,Gls,Ast,G+A,G-PK,G+A-PK,year
ro Steaua,20,27.2,8,67,3,3,6,3,0,0,18,0.37,0.37,0.75,0.37,0.75,2008-2009
es Villarreal,21,27.3,10,106,13,9,22,12,1,1,21,1.3,0.9,2.2,1.2,2.1,2008-2009
de Werder Bremen,21,25.9,6,66,7,5,12,6,1,1,17,1.17,0.83,2.0,1.0,1.83,2008-2009
ru Zenit,16,27.2,6,63,4,3,7,4,0,0,11,0.67,0.5,1.17,0.67,1.17,2008-2009
cy APOEL FC,20,30.1,12,66,3,2,5,3,0,0,12,0.25,0.17,0.42,0.25,0.42,2009-2010
eng Arsenal,29,24.6,12,109,21,16,37,19,2,2,19,1.75,1.33,3.08,1.58,2.92,2009-2010
es Atlético Madrid,21,26.4,8,66,3,0,3,3,0,0,12,0.37,0.0,0.37,0.37,0.37,2009-2010
nl AZ Alkmaar,19,24.5,6,66,4,4,8,4,0,0,9,0.67,0.67,1.33,0.67,1.33,2009-2010
es Barcelona,20,26.5,12,132,20,16,36,20,0,0,19,1.67,1.33,3.0,1.67,3.0,2009-2010
de Bayern Munich,22,27.2,13,143,20,12,32,18,2,2,23,1.54,0.92,2.46,1.38,2.31,2009-2010
tr Beşiktaş,22,28.4,6,66,3,3,6,3,0,0,14,0.5,0.5,1.0,0.5,1.0,2009-2010
fr Bordeaux,23,26.4,10,110,14,12,26,14,0,2,12,1.4,1.2,2.6,1.4,2.6,2009-2010
eng Chelsea,22,28.6,8,86,11,9,20,11,0,0,14,1.37,1.13,2.5,1.37,2.5,2009-2010
ru CSKA Moscow,20,25.1,10,110,13,12,25,13,0,0,25,1.3,1.2,2.5,1.3,2.5,2009-2010
hu Debrecen,20,26.6,12,66,5,5,10,5,0,0,7,0.42,0.42,0.83,0.42,0.83,2009-2010
ua Dynamo Kyiv,17,25.3,6,66,6,3,9,6,0,0,15,1.0,0.5,1.5,1.0,1.5,2009-2010
it Fiorentina,23,27.6,10,83,16,13,29,15,1,1,15,1.6,1.3,2.9,1.5,2.8,2009-2010
it Inter,23,29.5,13,143,17,13,30,17,0,0,32,1.31,1.0,2.31,1.31,2.31,2009-2010
it Juventus,22,28.7,6,66,4,4,8,4,0,0,10,0.67,0.67,1.33,0.67,1.33,2009-2010
eng Liverpool,24,26.1,6,66,5,3,8,5,0,0,3,0.83,0.5,1.33,0.83,1.33,2009-2010
fr Lyon,20,25.8,14,132,17,12,29,16,1,1,27,1.21,0.86,2.07,1.14,2.0,2009-2010
il Maccabi Haifa,20,24.9,12,66,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,2009-2010
eng Manchester Utd,27,27.3,10,112,20,18,38,20,0,0,15,2.0,1.8,3.8,2.0,3.8,2009-2010
fr Marseille,20,28.2,6,66,9,5,14,9,0,1,14,1.5,0.83,2.33,1.5,2.33,2009-2010
it Milan,25,29.8,8,88,10,7,17,8,2,2,17,1.25,0.87,2.12,1.0,1.87,2009-2010
gr Olympiacos,24,28.8,12,88,5,4,9,5,0,0,18,0.42,0.33,0.75,0.42,0.75,2009-2010
pt Porto,21,25.1,8,86,10,7,17,9,1,1,14,1.25,0.87,2.12,1.13,2.0,2009-2010
sct Rangers,19,27.6,6,66,3,3,6,3,0,1,11,0.5,0.5,1.0,0.5,1.0,2009-2010
es Real Madrid,21,25.4,8,89,16,9,25,15,1,1,22,2.0,1.13,3.12,1.87,3.0,2009-2010
ru Rubin Kazan,16,27.8,6,60,2,1,3,2,0,0,12,0.33,0.17,0.5,0.33,0.5,2009-2010
es Sevilla,25,27.4,8,88,13,11,24,12,1,1,9,1.62,1.37,3.0,1.5,2.87,2009-2010
be Standard Liège,19,23.8,6,66,6,4,10,5,1,1,13,1.0,0.67,1.67,0.83,1.5,2009-2010
de Stuttgart,20,26.1,10,84,10,8,18,10,0,0,14,1.0,0.8,1.8,1.0,1.8,2009-2010
ro Unirea Urziceni,21,27.8,6,70,5,2,7,5,0,0,15,0.83,0.33,1.17,0.83,1.17,2009-2010
de Wolfsburg,17,26.4,6,66,9,7,16,8,1,1,3,1.5,1.17,2.67,1.33,2.5,2009-2010
ch Zürich,18,25.4,10,68,5,3,8,4,1,1,14,0.5,0.3,0.8,0.4,0.7,2009-2010
nl Ajax,17,24.2,10,66,6,4,10,6,0,0,10,0.6,0.4,1.0,0.6,1.0,2010-2011
eng Arsenal,25,24.8,8,88,20,13,33,17,3,4,16,2.5,1.62,4.12,2.12,3.75,2010-2011
fr Auxerre,20,27.3,8,66,3,2,5,3,0,0,9,0.37,0.25,0.62,0.37,0.62,2010-2011
es Barcelona,25,26.6,13,143,30,24,54,28,2,3,15,2.31,1.85,4.15,2.15,4.0,2010-2011
ch Basel,18,25.7,10,66,8,6,14,8,0,0,9,0.8,0.6,1.4,0.8,1.4,2010-2011
de Bayern Munich,23,26.4,8,88,17,11,28,16,1,1,17,2.12,1.37,3.5,2.0,3.38,2010-2011
pt Benfica,19,25.6,6,66,7,6,13,7,0,0,14,1.17,1.0,2.17,1.17,2.17,2010-2011
pt Braga,21,27.6,10,66,5,4,9,5,0,0,11,0.5,0.4,0.9,0.5,0.9,2010-2011
tr Bursaspor,21,28.0,6,66,2,2,4,2,0,0,9,0.33,0.33,0.67,0.33,0.67,2010-2011
ro CFR Cluj,22,26.5,6,66,6,6,12,6,0,0,12,1.0,1.0,2.0,1.0,2.0,2010-2011
eng Chelsea,25,27.5,10,110,17,10,27,15,2,2,16,1.7,1.0,2.7,1.5,2.5,2010-2011
dk FC Copenhagen,19,26.6,12,88,6,3,9,5,1,1,12,0.5,0.25,0.75,0.42,0.67,2010-2011
il Hapoel Tel Aviv,19,25.9,12,66,7,5,12,6,1,1,14,0.58,0.42,1.0,0.5,0.92,2010-2011
it Inter,29,29.0,10,110,18,14,32,17,1,1,19,1.8,1.4,3.2,1.7,3.1,2010-2011
fr Lyon,20,25.5,8,88,12,8,20,11,1,1,15,1.5,1.0,2.5,1.37,2.37,2010-2011
eng Manchester Utd,28,27.7,13,143,18,16,34,17,1,1,14,1.38,1.23,2.62,1.31,2.54,2010-2011
fr Marseille,20,27.0,8,88,12,11,23,12,0,0,11,1.5,1.37,2.87,1.5,2.87,2010-2011
it Milan,23,29.5,8,88,7,5,12,7,0,0,23,0.87,0.62,1.5,0.87,1.5,2010-2011
sk MŠK Žilina,19,26.1,12,66,3,2,5,3,0,0,9,0.25,0.17,0.42,0.25,0.42,2010-2011
gr Panathinaikos,21,28.2,6,66,2,2,4,2,0,0,13,0.33,0.33,0.67,0.33,0.67,2010-2011
rs Partizan,21,26.1,12,66,2,1,3,1,1,2,11,0.17,0.08,0.25,0.08,0.17,2010-2011
sct Rangers,19,28.0,6,66,3,3,6,3,0,0,10,0.5,0.5,1.0,0.5,1.0,2010-2011
es Real Madrid,26,25.7,12,132,24,20,44,23,1,1,32,2.0,1.67,3.67,1.92,3.58,2010-2011
it Roma,25,29.7,8,84,12,8,20,10,2,3,16,1.5,1.0,2.5,1.25,2.25,2010-2011
ru Rubin Kazan,20,26.8,6,66,2,0,2,0,2,2,10,0.33,0.0,0.33,0.0,0.0,2010-2011
de Schalke 04,27,25.2,12,132,21,15,36,21,0,0,29,1.75,1.25,3.0,1.75,3.0,2010-2011
ua Shakhtar,22,24.9,10,110,19,14,33,18,1,1,24,1.9,1.4,3.3,1.8,3.2,2010-2011
ru Spartak Moscow,22,25.3,6,66,6,6,12,6,0,0,7,1.0,1.0,2.0,1.0,2.0,2010-2011
eng Tottenham,25,26.6,12,110,17,13,30,15,2,4,13,1.42,1.08,2.5,1.25,2.33,2010-2011
nl Twente,21,24.9,6,66,8,2,10,7,1,1,10,1.33,0.33,1.67,1.17,1.5,2010-2011
es Valencia,26,27.6,8,88,16,10,26,15,1,1,11,2.0,1.25,3.25,1.87,3.12,2010-2011
de Werder Bremen,22,25.9,8,66,6,6,12,6,0,0,9,0.75,0.75,1.5,0.75,1.5,2010-2011
nl Ajax,20,23.5,6,66,6,4,10,6,0,0,6,1.0,0.67,1.67,1.0,1.67,2011-2012
cy APOEL FC,23,30.6,16,110,9,7,16,7,2,2,27,0.56,0.44,1.0,0.44,0.87,2011-2012
eng Arsenal,29,25.4,10,88,10,4,14,9,1,1,17,1.0,0.4,1.4,0.9,1.3,2011-2012
es Barcelona,31,26.7,12,132,33,22,55,28,5,6,17,2.75,1.83,4.58,2.33,4.17,2011-2012
